单词,总次数
thank,5
the,5
their,5
theirs,5
them,5
themselves,5
these,5
they,5
thick,5
thin,5
thing,5
third,5
thirsty,5
thirteen,5
thirty,5
this,5
those,5
thousand,5
three,5
through,5
Thursday,5
ticket,5
tidy,5
tiger,5
time,5
tiny,5
to,5
today,5
toilet,5
tomato,5
tomorrow,5
ton,5
tonight,5
tool,5
tourist,5
tower,5
town,5
toy,5
traffic,5
training,5
treatment,5
tree,5
truck,5
Tuesday,5
twelfth,5
twelve,5
twentieth,5
twenty,5
two,5
umbrella,5
uncle,5
underground,5
university,5
upstairs,5
used,5
useful,5
useless,5
vacation,5
vegetable,5
vehicle,5
victory,5
video,5
village,5
violin,5
voice,5
volleyball,5
wall,5
war,5
warm,5
water,5
we,5
weather,5
website,5
Wednesday,5
week,5
weekday,5
weekend,5
weigh,5
west,5
whale,5
wheat,5
where,5
white,5
wife,5
window,5
windy,5
wine,5
winter,5
wood,5
world,5
would,5
wrong,5
yard,5
year,5
yellow,5
yes,5
yesterday,5
you,5
young,5
your,5
yours,5
yourself,5
yourselves,5
zero,5
zoo,5
accent,4
agreement,4
American,4
army,4
Asian,4
Australian,4
bedroom,4
beef,4
brush,4
butterfly,4
bye,4
camel,4
can,4
cancer,4
CD,4
ceiling,4
classmate,4
classroom,4
coke,4
communication,4
cooker,4
development,4
driver,4
factory,4
feeling,4
fisherman,4
foreigner,4
garden,4
glass,4
glove,4
goat,4
god,4
gold,4
golden,4
government,4
grammar,4
grandchild,4
granddaughter,4
grandson,4
granny,4
grape,4
grass,4
great,4
green,4
ground,4
guest,4
gun,4
hair,4
healthy,4
herself,4
history,4
inch,4
Indian,4
introduction,4
invention,4
Japanese,4
keyboard,4
leader,4
lemonade,4
lucky,4
manager,4
March,4
May,4
Miss,4
monitor,4
motorcycle,4
news,4
no,4
officer,4
overcoat,4
paint,4
palace,4
piano,4
pig,4
pilot,4
playground,4
policy,4
prisoner,4
rainy,4
recorder,4
riddle,4
Russian,4
shorts,4
silence,4
smooth,4
snowy,4
speaker,4
steam,4
steel,4
stranger,4
sweater,4
swimming,4
television,4
tent,4
text,4
thread,4
tongue,4
toothache,4
toothbrush,4
toothpaste,4
towel,4
trousers,4
true,4
visitor,4
warn,4
wind,4
wing,4
winner,4
worker,4
pollution,4
pretend,4
flight,4
hang,4
straight,4
throw,4
pay,4
toast,4
authority,4
creature,4
outgoing,4
instrument,4
medium,4
perform,4
concentrate,4
well,4
suitable,4
block,4
understand,4
champion,4
matter,4
have,4
manner,4
wake,4
lap,4
bush,4
design,4
extra,4
department,4
exhibition,4
burn,4
obey,4
spoken,4
recycle,4
let,4
press,4
opposite,4
pack,4
cut,4
entertainment,4
found,4
escape,4
think,4
smell,4
unable,4
shoot,4
realize,4
eastern,4
marathon,4
uncomfortable,4
district,4
swim,4
impossible,4
wave,4
pain,4
put,4
gallery,4
destroy,4
theme,4
chat,4
fiction,4
tell,4
appointment,4
hit,4
major,4
beat,4
worldwide,4
consider,4
particular,4
build,4
mean,4
chew,4
modest,4
shock,4
court,4
relative,4
attitude,4
spare,4
staff,4
meet,4
represent,4
dig,4
hold,4
take,4
blank,4
importance,4
custom,4
permission,4
material,4
attempt,4
balance,4
cream,4
upset,4
barbecue,4
stand,4
cigarette,4
feel,4
thrill,4
find,4
host,4
combine,4
comedy,4
pressure,4
feed,4
forget,4
convenient,4
belong,4
mess,4
native,4
make,4
microwave,4
fence,4
firm,4
character,4
stick,4
band,4
quality,4
rude,4
association,4
mix,4
agent,4
treat,4
project,4
comment,4
lose,4
toward,4
uniform,4
fall,4
opinion,4
prefer,4
spend,4
advantage,4
dessert,4
kangaroo,4
awful,4
educate,4
exam,4
poster,4
symphony,4
sleep,4
vocabulary,4
aggressive,4
sweep,4
leave,4
therefore,4
exchange,4
bored,4
choose,4
behave,4
mistake,4
pour,4
spot,4
aid,4
aim,4
confident,4
local,4
speak,4
more,4
shake,4
insect,4
shall,4
nearby,4
predict,4
dull,4
reason,4
ring,4
gentle,4
boil,4
envelope,4
turkey,4
tasty,4
helicopter,4
disabled,4
calm,4
run,4
view,4
might,4
volunteer,4
clothing,4
string,4
distance,4
rise,4
rent,4
anxious,4
slice,4
far,4
catch,4
fax,4
case,4
give,4
phone,4
slide,4
style,4
jungle,4
suit,4
stress,4
porridge,4
shut,4
talent,4
phrase,4
keep,4
yoghurt,4
forbid,4
diet,4
win,4
amount,4
album,4
say,4
shine,4
spread,4
bring,4
awake,4
rank,4
fold,4
drive,4
homeland,4
see,4
fool,4
set,4
outstanding,4
partner,4
beauty,4
humorous,4
disadvantage,4
little,4
sit,4
crowd,4
fry,4
drink,4
announce,4
operate,4
begin,4
become,4
break,4
draw,4
cupboard,4
hide,4
dream,4
tense,4
recipe,4
seal,4
bow,4
fight,4
hear,4
wheel,4
clerk,4
scene,4
injure,4
freeze,4
dormitory,4
seek,4
heel,4
teenager,4
garage,4
dislike,4
amazing,4
unusual,4
sink,4
know,4
sing,4
support,4
teach,4
argue,4
type,4
come,4
wear,4
impress,4
get,4
regular,4
sell,4
queue,4
blow,4
earthquake,4
send,4
purpose,4
flee,4
award,4
cost,4
will,4
challenge,4
wild,4
baby,3
behaviour,3
body,3
gym,3
Internet,3
kilometer,3
math,3
party,3
tenth,3
us,3
a,3
photograph,3
child,3
root,3
lend,3
better,3
unhappy,3
million,3
woman,3
product,3
less,3
tutor,3
sport,3
unimportant,3
Africa,3
battery,3
pop,3
latest,3
avenue,3
most,3
hey,3
artist,3
wallet,3
dad,3
sixteenth,3
sock,3
adult,3
march,3
stage,3
junk,3
waiter,3
later,3
possibly,3
hole,3
cookie,3
belt,3
thief,3
unpleasant,3
skin,3
man,3
opera,3
equipment,3
stair,3
best,3
theatre,3
wolf,3
many,3
suitcase,3
beard,3
hunger,3
Russia,3
twin,3
biology,3
eat,3
comma,3
spell,3
much,3
mouse,3
steal,3
scientific,3
assistant,3
carrot,3
bicycle,3
throat,3
French,3
retire,3
photo,3
shelf,3
ride,3
medal,3
popcorn,3
singer,3
shark,3
cage,3
unhealthy,3
net,3
read,3
saying,3
super,3
are,3
jazz,3
worse,3
worst,3
statement,3
penny,3
topic,3
sheep,3
soccer,3
headache,3
bad,3
sauce,3
am,3
tooth,3
foot,3
knife,3
refrigerator,3
easily,3
hello,3
parrot,3
sign,3
author,3
essay,3
Paris,3
rocket,3
province,3
bookcase,3
buy,3
life,3
honey,3
musician,3
onion,3
hero,3
player,3
abandon,3
abnormal,3
aboard,3
abolish,3
abortion,3
abrupt,3
absence,3
absolute,3
absorb,3
abstract,3
absurd,3
abundant,3
abuse,3
academic,3
academy,3
accelerate,3
access,3
accessible,3
anchor,3
accommodation,3
accompany,3
accomplish,3
account,3
accountant,3
accumulate,3
accuracy,3
accuse,3
accustomed,3
achievement,3
acid,3
acknowledge,3
acquaintance,3
acquire,3
acquisition,3
acre,3
actual,3
acute,3
adapt,3
adaptation,3
addicted,3
addition,3
adequate,3
adjust,3
adjustment,3
administration,3
admirable,3
admire,3
admission,3
admit,3
adolescence,3
adolescent,3
adopt,3
adore,3
advance,3
adventure,3
advertise,3
advocate,3
affair,3
affect,3
affection,3
afterward,3
agency,3
agenda,3
agricultural,3
agriculture,3
ahead,3
airmail,3
alarm,3
alcohol,3
alcoholic,3
algebra,3
alike,3
allergic,3
alley,3
allocate,3
allowance,3
alongside,3
alphabet,3
alternative,3
altitude,3
altogether,3
amateur,3
amaze,3
ambassador,3
ambiguous,3
ambition,3
ambulance,3
ample,3
amuse,3
amusement,3
analysis,3
ancestor,3
anecdote,3
anger,3
angle,3
ankle,3
anniversary,3
annoy,3
annual,3
antique,3
anxiety,3
anyhow,3
apologize,3
apology,3
apparent,3
appeal,3
appearance,3
appendix,3
appetite,3
applaud,3
applicant,3
application,3
apply,3
appoint,3
appreciate,3
appreciation,3
approach,3
appropriate,3
approve,3
approximately,3
apron,3
arbitrary,3
arch,3
architect,3
architecture,3
Arctic,3
argument,3
arise,3
arithmetic,3
arrange,3
arrest,3
artificial,3
ashamed,3
aside,3
aspect,3
assess,3
assessment,3
assist,3
assistance,3
associate,3
assume,3
assumption,3
astonish,3
astronomer,3
astronomy,3
atmosphere,3
attach,3
attain,3
attend,3
attract,3
attractive,3
audience,3
authentic,3
automatic,3
autonomous,3
average,3
aware,3
awesome,3
awkward,3
bachelor,3
bacterium,3
badminton,3
bakery,3
balcony,3
ballet,3
ban,3
bar,3
barber,3
barbershop,3
bare,3
bargain,3
barrier,3
base,3
basement,3
basis,3
bath,3
bathe,3
battle,3
beddings,3
beg,3
behalf,3
being,3
belief,3
belly,3
bench,3
bend,3
beneath,3
beneficial,3
benefit,3
bent,3
betray,3
bid,3
bingo,3
biochemistry,3
biography,3
birthplace,3
bishop,3
bite,3
blame,3
blanket,3
bleed,3
bless,3
bond,3
bonus,3
boom,3
booth,3
botanical,3
botany,3
bounce,3
bound,3
boundary,3
boycott,3
brake,3
brand,3
bravery,3
breakthrough,3
breast,3
breathless,3
brewery,3
brick,3
bride,3
bridegroom,3
brief,3
brilliant,3
broadcast,3
brochure,3
broken,3
brunch,3
bucket,3
Buddhism,3
budget,3
buffet,3
bun,3
bunch,3
bungalow,3
burden,3
bureaucratic,3
burglar,3
burst,3
bury,3
butcher,3
cab,3
cafeteria,3
calculate,3
campaign,3
canal,3
candidate,3
canteen,3
capsule,3
caption,3
carbon,3
carpenter,3
carriage,3
carrier,3
carve,3
cash,3
cassette,3
cast,3
casual,3
catalogue,3
catastrophe,3
category,3
cater,3
caution,3
cautious,3
cell,3
centigrade,3
central,3
ceremony,3
certificate,3
chain,3
challenging,3
changeable,3
channel,3
chaos,3
chapter,3
characteristic,3
charge,3
chart,3
cheerful,3
cheers,3
chef,3
chemical,3
cheque,3
chief,3
childhood,3
choir,3
choke,3
chorus,3
Christian,3
circuit,3
circulate,3
circumstance,3
circus,3
citizen,3
civil,3
civilian,3
civilization,3
clarify,3
classic,3
classify,3
claw,3
clay,3
click,3
climate,3
clinic,3
clumsy,3
coincidence,3
collar,3
colleague,3
collision,3
comb,3
comfort,3
command,3
commercial,3
commit,3
commitment,3
committee,3
communism,3
communist,3
companion,3
compass,3
compensate,3
compete,3
competence,3
complex,3
component,3
comprehension,3
compromise,3
compulsory,3
concept,3
concern,3
conclude,3
conclusion,3
concrete,3
condemn,3
conduct,3
conductor,3
confidential,3
confirm,3
conflict,3
confuse,3
congratulate,3
congratulation,3
conscience,3
consensus,3
consequence,3
conservative,3
considerate,3
consist,3
consistent,3
constant,3
construct,3
construction,3
consult,3
consultant,3
consume,3
contain,3
contemporary,3
content,3
continent,3
contradict,3
contradictory,3
contrary,3
contribute,3
contribution,3
controversial,3
conventional,3
convey,3
convince,3
corporation,3
correction,3
correspond,3
corrupt,3
cosy,3
cottage,3
crash,3
credit,3
crew,3
crime,3
criminal,3
criterion,3
crossing,3
crossroads,3
cube,3
cuisine,3
cure,3
curious,3
currency,3
curriculum,3
cushion,3
customer,3
customs,3
cycle,3
damage,3
damp,3
dash,3
database,3
dawn,3
deadline,3
debate,3
debt,3
decade,3
declare,3
decline,3
decorate,3
decoration,3
decrease,3
deed,3
defeat,3
defend,3
delay,3
delete,3
deliberately,3
delicate,3
delight,3
delighted,3
deliver,3
demand,3
departure,3
deposit,3
depth,3
desert,3
deserve,3
desire,3
desperate,3
destination,3
detective,3
determine,3
devote,3
devotion,3
diagram,3
dial,3
diamond,3
dictation,3
differ,3
digest,3
digital,3
dignity,3
dilemma,3
dimension,3
dinosaur,3
dioxide,3
dip,3
diploma,3
directory,3
dirt,3
disability,3
disagree,3
disappear,3
disappoint,3
disaster,3
discount,3
discourage,3
discrimination,3
disgusting,3
distant,3
distinction,3
distinguish,3
distribute,3
disturbing,3
dive,3
diverse,3
division,3
dizzy,3
document,3
dot,3
download,3
downtown,3
draft,3
drag,3
drawback,3
drier,3
drill,3
drunk,3
due,3
dusk,3
dust,3
dustbin,3
dusty,3
eager,3
earn,3
eastwards,3
ecology,3
edition,3
editor,3
effect,3
eggplant,3
elect,3
electrical,3
electricity,3
electronic,3
elegant,3
embarrass,3
embassy,3
emergency,3
emperor,3
employ,3
encouragement,3
endless,3
energetic,3
engine,3
enjoyable,3
enlarge,3
enquiry,3
enterprise,3
enthusiastic,3
entire,3
entrance,3
entry,3
envy,3
equal,3
equality,3
equip,3
error,3
erupt,3
evaluate,3
event,3
eventually,3
evidence,3
evident,3
evolution,3
exact,3
exist,3
exit,3
expand,3
expectation,3
expense,3
expert,3
explanation,3
explicit,3
explode,3
explore,3
export,3
expose,3
expression,3
extension,3
extraordinary,3
extreme,3
eyesight,3
facial,3
fade,3
failure,3
fairly,3
faith,3
familiar,3
fancy,3
fantasy,3
fare,3
fasten,3
fault,3
favour,3
favourite,3
feast,3
federal,3
fee,3
fellow,3
female,3
ferry,3
fierce,3
figure,3
file,3
finance,3
fingernail,3
flame,3
flash,3
flashlight,3
flesh,3
flexible,3
float,3
flood,3
flow,3
fluency,3
fluent,3
focus,3
foggy,3
folk,3
fond,3
forecast,3
forehead,3
foresee,3
forever,3
forgive,3
format,3
former,3
fortnight,3
fortunate,3
fortune,3
fountain,3
fragile,3
fragrant,3
framework,3
freedom,3
freeway,3
freezing,3
frequent,3
friction,3
frighten,3
frontier,3
frost,3
fuel,3
function,3
fundamental,3
funeral,3
furnished,3
gain,3
gallon,3
garbage,3
garlic,3
garment,3
gather,3
gay,3
generation,3
generous,3
geometry,3
gesture,3
gifted,3
glance,3
glare,3
glory,3
go,3
goods,3
goose,3
govern,3
graduate,3
grain,3
grand,3
graph,3
grasp,3
grateful,3
gravity,3
greedy,3
greengrocer,3
greet,3
grey,3
grill,3
grocer,3
grow,3
growth,3
guidance,3
guide,3
guilty,3
gymnastics,3
habit,3
haircut,3
hammer,3
handful,3
handle,3
handwriting,3
handy,3
harbour,3
hardship,3
harm,3
harmful,3
harmony,3
harvest,3
hatch,3
headline,3
headmistress,3
heap,3
hearing,3
helmet,3
herb,3
hire,3
holy,3
honour,3
hook,3
hopeful,3
horrible,3
howl,3
hug,3
humour,3
hunt,3
hurricane,3
hydrogen,3
identification,3
identity,3
idiom,3
ignore,3
illegal,3
immigration,3
import,3
impression,3
incident,3
income,3
indeed,3
independence,3
independent,3
inform,3
initial,3
innocent,3
insert,3
inspect,3
inspire,3
instant,3
institute,3
institution,3
instruct,3
insurance,3
insure,3
intelligence,3
interpreter,3
interrupt,3
interval,3
irrigation,3
jam,3
jet,3
jewelry,3
jog,3
journalist,3
journey,3
judge,3
junior,3
justice,3
kindergarten,3
labour,3
lack,3
lame,3
lantern,3
latter,3
laughter,3
laundry,3
league,3
leak,3
leather,3
lecture,3
legal,3
length,3
liberation,3
liberty,3
librarian,3
lightning,3
likely,3
limit,3
link,3
literary,3
literature,3
load,3
loaf,3
loose,3
loss,3
lounge,3
luggage,3
maid,3
mainland,3
majority,3
maple,3
marble,3
mask,3
mass,3
mature,3
maximum,3
means,3
meanwhile,3
measure,3
melon,3
memorial,3
mental,3
merchant,3
merciful,3
mercy,3
merely,3
messy,3
microscope,3
mineral,3
minimum,3
minister,3
ministry,3
minority,3
minus,3
mist,3
mistaken,3
misunderstand,3
mobile,3
modem,3
monument,3
mop,3
moral,3
motivation,3
motto,3
mountainous,3
mourn,3
muddy,3
multiply,3
musical,3
mustard,3
mutton,3
narrow,3
nation,3
nationality,3
nationwide,3
navy,3
negotiate,3
neighbour,3
neighbourhood,3
noble,3
novelist,3
nowhere,3
numb,3
nutrition,3
observe,3
obtain,3
obvious,3
occupation,3
occur,3
Oceania,3
offence,3
offshore,3
oilfield,3
oppose,3
optimistic,3
optional,3
oral,3
orbit,3
ordinary,3
organ,3
organise,3
origin,3
otherwise,3
ought,3
outcome,3
outdoors,3
outer,3
outing,3
outline,3
output,3
outspoken,3
outward,3
oval,3
overcome,3
overlook,3
overweight,3
oxygen,3
pace,3
Pacific,3
paddle,3
painful,3
panic,3
paperwork,3
paragraph,3
parallel,3
